wins,plays,win_rate,rate,rate_change,wins_total,plays_total,time
0,0,0.0,7322,0,17348,36147,2024-05-08 21:49:28
68,115,0.59,7438,116,17416,36262,2024-05-11 21:30:41
44,89,0.49,7404,-34,17460,36351,2024-05-13 22:04:25
8,13,0.62,7405,1,17468,36364,2024-05-14 09:11:01
13,39,0.33,7335,-70,17481,36403,2024-05-15 06:00:01
11,20,0.55,7357,22,17492,36423,2024-05-18 06:00:01
15,29,0.52,7346,-11,17507,36452,2024-05-19 06:00:01
27,55,0.49,7346,0,17534,36507,2024-05-26 06:00:01
13,23,0.57,7346,0,17547,36530,2024-05-27 06:00:02
11,21,0.52,7350,4,17558,36551,2024-05-29 06:00:01
5,10,0.5,7355,5,17563,36561,2024-05-30 06:00:01
6,11,0.55,7360,5,17569,36572,2024-06-02 06:00:02
49,105,0.47,7361,1,17618,36677,2024-06-12 06:00:02
6,8,0.75,7382,21,17624,36685,2024-06-13 06:00:01
13,20,0.65,7418,36,17637,36705,2024-06-14 06:00:01
46,81,0.57,7460,42,17683,36786,2024-06-16 06:00:01
12,21,0.57,7476,16,17695,36807,2024-06-18 09:08:10
25,48,0.52,7472,-4,17720,36855,2024-06-19 06:00:01
16,24,0.67,7501,29,17736,36879,2024-06-20 06:00:02
13,24,0.54,7501,0,17749,36903,2024-06-21 06:00:02
25,43,0.58,7500,-1,17774,36946,2024-06-23 06:00:01
19,32,0.59,7512,12,17793,36978,2024-06-24 21:10:25
15,27,0.56,7516,4,17808,37005,2024-06-26 06:00:01
50,93,0.54,7425,-91,17858,37098,2024-06-27 06:00:02
23,42,0.55,7455,30,17881,37140,2024-06-29 12:33:36
15,29,0.52,7461,6,17896,37169,2024-06-30 06:00:02
10,24,0.42,7385,-76,17906,37193,2024-07-01 06:00:02
13,23,0.57,7405,20,17919,37216,2024-07-06 06:00:02
13,28,0.46,7418,13,17932,37244,2024-07-07 06:00:02
8,19,0.42,7429,11,17940,37263,2024-07-09 09:20:56
65,110,0.59,7452,23,18005,37373,2024-07-10 06:00:01
41,66,0.62,7540,88,18046,37439,2024-07-11 06:00:01
50,93,0.54,7482,-58,18096,37532,2024-07-12 06:00:02
30,51,0.59,7502,20,18126,37583,2024-07-14 12:38:45
26,47,0.55,7500,-2,18152,37630,2024-07-15 11:16:16
76,131,0.58,7466,-34,18228,37761,2024-07-17 06:00:02
45,77,0.58,7467,1,18273,37838,2024-07-18 05:00:02
30,50,0.6,7514,47,18303,37888,2024-07-19 05:00:02
50,88,0.57,7525,11,18353,37976,2024-07-21 05:00:02
34,56,0.61,7604,79,18387,38032,2024-07-22 06:00:02
12,18,0.67,7636,32,18399,38050,2024-07-24 05:00:02
23,43,0.53,7684,48,18422,38093,2024-07-25 05:00:02
6,9,0.67,7701,17,18428,38102,2024-07-26 05:00:01
71,134,0.53,7582,-119,18499,38236,2024-07-27 05:00:01
43,80,0.54,7514,-68,18542,38316,2024-07-28 05:00:01
35,63,0.56,7453,-61,18577,38379,2024-07-29 05:00:01
32,49,0.65,7529,76,18609,38428,2024-07-31 05:00:01
103,163,0.63,7640,111,18712,38591,2024-08-01 06:00:02
42,70,0.6,7741,101,18754,38661,2024-08-02 05:00:01
32,44,0.73,7802,61,18786,38705,2024-08-03 05:00:01
