wins,plays,win_rate,rate,rate_change,wins_total,plays_total,time
0,0,0.0,6676,0,18051,52174,2024-05-08 21:49:28
47,131,0.36,6590,-86,18098,52305,2024-05-11 21:25:28
16,39,0.41,6598,8,18114,52344,2024-05-13 22:04:25
25,43,0.58,6682,84,18139,52387,2024-05-14 09:11:01
31,70,0.44,6711,29,18170,52457,2024-05-15 06:00:01
33,73,0.45,6733,22,18203,52530,2024-05-16 06:00:02
32,70,0.46,6752,19,18235,52600,2024-05-17 06:00:01
21,79,0.27,6656,-96,18256,52679,2024-05-21 06:00:01
31,80,0.39,6649,-7,18287,52759,2024-05-22 06:00:01
40,90,0.44,6631,-18,18327,52849,2024-05-23 06:00:02
150,350,0.43,6606,-25,18477,53199,2024-06-12 06:00:02
30,73,0.41,6636,30,18507,53272,2024-06-13 06:00:01
36,87,0.41,6632,-4,18543,53359,2024-06-14 06:00:01
30,60,0.5,6672,40,18573,53419,2024-06-18 09:08:10
28,67,0.42,6654,-18,18601,53486,2024-06-19 06:00:01
5,11,0.45,6653,-1,18606,53497,2024-06-20 06:00:02
11,26,0.42,6661,8,18617,53523,2024-06-21 06:00:02
5,13,0.38,6636,-25,18622,53536,2024-06-24 21:10:25
24,58,0.41,6641,5,18646,53594,2024-07-02 06:00:02
4,15,0.27,6621,-20,18650,53609,2024-07-04 06:00:01
1,3,0.33,6622,1,18651,53612,2024-07-05 10:25:57
4,14,0.29,6604,-18,18655,53626,2024-07-09 09:20:56
36,80,0.45,6657,53,18691,53706,2024-07-10 06:00:01
19,54,0.35,6636,-21,18710,53760,2024-07-11 06:00:01
31,65,0.48,6682,46,18741,53825,2024-07-12 06:00:02
56,130,0.43,6700,18,18797,53955,2024-07-17 06:00:02
41,78,0.53,6750,50,18838,54033,2024-07-18 05:00:02
37,77,0.48,6792,42,18875,54110,2024-07-24 05:00:02
8,18,0.44,6801,9,18883,54128,2024-07-25 05:00:02
10,26,0.38,6780,-21,18893,54154,2024-07-26 05:00:01
1,1,1.0,6787,7,18894,54155,2024-09-04 05:00:02
29,66,0.44,6807,20,18923,54221,2024-09-06 05:00:01
13,34,0.38,6803,-4,18936,54255,2024-09-10 05:00:02
35,83,0.42,6810,7,18971,54338,2024-09-11 05:00:01
21,72,0.29,6711,-99,18992,54410,2024-09-12 06:00:02
25,83,0.3,6608,-103,19017,54493,2024-09-13 05:00:02
1,1,1.0,6613,5,19018,54494,2024-09-16 05:00:01
48,131,0.37,6570,-43,19066,54625,2024-09-18 05:00:01
26,67,0.39,6563,-7,19092,54692,2024-09-19 05:00:01
28,60,0.47,6611,48,19120,54752,2024-09-20 05:00:02
24,58,0.41,6616,5,19144,54810,2024-09-24 06:00:02
75,159,0.47,6711,95,19219,54969,2024-09-27 06:00:01
62,137,0.45,6771,60,19281,55106,2024-10-02 05:00:01
30,76,0.39,6769,-2,19311,55182,2024-10-03 06:00:01
25,54,0.46,6773,4,19336,55236,2024-10-05 06:00:01
26,69,0.38,6729,-44,19362,55305,2024-10-08 05:00:01
20,41,0.49,6753,24,19382,55346,2024-10-09 05:00:01
29,60,0.48,6802,49,19411,55406,2024-10-10 06:00:01
19,53,0.36,6759,-43,19430,55459,2024-10-11 06:00:01
25,62,0.4,6731,-28,19455,55521,2024-10-15 06:00:01
30,72,0.42,6706,-25,19485,55593,2024-10-17 05:00:02
60,147,0.41,6708,2,19545,55740,2024-10-25 05:00:02
25,70,0.36,6593,-115,19570,55810,2024-10-29 05:00:02
34,72,0.47,6586,-7,19604,55882,2024-10-30 05:00:02
31,72,0.43,6611,25,19635,55954,2024-10-31 05:00:01
35,84,0.42,6606,-5,19670,56038,2024-11-01 05:00:01
33,77,0.43,6637,31,19703,56115,2024-11-05 05:00:01
23,74,0.31,6581,-56,19726,56189,2024-11-06 06:00:01
36,69,0.52,6674,93,19762,56258,2024-11-07 05:00:02
21,68,0.31,6640,-34,19783,56326,2024-11-15 05:00:01
40,83,0.48,6720,80,19823,56409,2024-11-19 05:00:02
34,73,0.47,6735,15,19857,56482,2024-11-20 05:00:02
37,78,0.47,6797,62,19894,56560,2024-11-21 05:00:02
26,70,0.37,6779,-18,19920,56630,2024-11-22 05:00:02
26,69,0.38,6735,-44,19946,56699,2024-11-26 05:00:01
64,154,0.42,6736,1,20010,56853,2024-11-28 06:00:02
28,79,0.35,6671,-65,20038,56932,2024-11-29 05:00:01
66,156,0.42,6684,13,20104,57088,2024-12-04 05:00:02
26,60,0.43,6675,-9,20130,57148,2024-12-05 05:00:01
31,84,0.37,6591,-84,20161,57232,2024-12-06 06:00:02
27,87,0.31,6518,-73,20188,57319,2024-12-11 05:00:02
37,76,0.49,6598,80,20225,57395,2024-12-12 05:00:01
35,70,0.5,6672,74,20260,57465,2024-12-13 06:00:02
62,151,0.41,6680,8,20322,57616,2024-12-18 05:00:02
