wins,plays,win_rate,rate,rate_change,wins_total,plays_total,time
0,0,0,6512,0,17929,68906,2024-05-13 22:04:25
18,35,0.51,6524,12,17947,68941,2024-05-14 09:11:01
12,56,0.21,6408,-116,17959,68997,2024-05-15 06:00:01
23,65,0.35,6425,17,17982,69062,2024-05-16 06:00:02
24,64,0.38,6441,16,18006,69126,2024-05-17 06:00:01
23,60,0.38,6455,14,18029,69186,2024-05-18 06:00:01
21,47,0.45,6507,52,18050,69233,2024-05-19 06:00:01
24,62,0.39,6483,-24,18074,69295,2024-05-21 06:00:01
18,56,0.32,6459,-24,18092,69351,2024-05-22 06:00:01
22,66,0.33,6458,-1,18114,69417,2024-05-23 06:00:02
21,72,0.29,6415,-43,18135,69489,2024-05-24 06:00:02
30,68,0.44,6486,71,18165,69557,2024-05-25 06:00:01
26,53,0.49,6556,70,18191,69610,2024-05-26 06:00:01
18,57,0.32,6507,-49,18209,69667,2024-05-27 06:00:02
22,60,0.37,6496,-11,18231,69727,2024-05-28 06:00:02
19,58,0.33,6475,-21,18250,69785,2024-05-29 06:00:01
15,40,0.38,6474,-1,18265,69825,2024-05-30 06:00:01
3,7,0.43,6488,14,18268,69832,2024-05-31 06:00:02
21,59,0.36,6475,-13,18289,69891,2024-06-02 06:00:02
15,58,0.26,6419,-56,18304,69949,2024-06-03 06:00:02
177,489,0.36,6477,58,18481,70438,2024-06-12 06:00:02
15,58,0.26,6435,-42,18496,70496,2024-06-13 06:00:01
9,41,0.22,6372,-63,18505,70537,2024-06-14 06:00:01
15,45,0.33,6335,-37,18520,70582,2024-06-15 06:00:02
14,54,0.26,6305,-30,18534,70636,2024-06-16 06:00:01
23,76,0.3,6266,-39,18557,70712,2024-06-18 09:08:10
11,38,0.29,6233,-33,18568,70750,2024-06-20 06:00:02
18,66,0.27,6210,-23,18586,70816,2024-06-21 06:00:02
5,26,0.19,6195,-15,18591,70842,2024-06-22 06:00:01
