wins,plays,win_rate,rate,rate_change,wins_total,plays_total,time
0,0,0.0,7539,0,6878,15552,2024-05-13 22:04:25
12,28,0.43,7502,-37,6890,15580,2024-05-14 09:11:01
22,38,0.58,7485,-17,6912,15618,2024-05-15 06:00:01
17,28,0.61,7525,40,6929,15646,2024-05-16 06:00:02
44,87,0.51,7455,-70,6973,15733,2024-05-18 06:00:01
19,38,0.5,7412,-43,6992,15771,2024-05-25 06:00:01
4,9,0.44,7400,-12,6996,15780,2024-06-12 06:00:02
21,36,0.58,7425,25,7017,15816,2024-08-01 06:00:02
30,57,0.53,7450,25,7047,15873,2024-08-05 08:57:09
17,36,0.47,7450,0,7064,15909,2024-09-13 05:00:02
24,43,0.56,7445,-5,7088,15952,2024-09-18 05:00:01
12,19,0.63,7447,2,7100,15971,2025-02-15 05:00:02
37,65,0.57,7450,3,7137,16036,2025-02-27 06:00:01
1,1,1.0,7456,6,7138,16037,2025-04-22 05:00:01
36,70,0.51,7433,-23,7174,16107,2025-05-05 05:00:02
53,97,0.55,7424,-9,7227,16204,2025-06-17 05:00:01
