wins,plays,win_rate,rate,rate_change,wins_total,plays_total,time
0,0,0.0,6671,0,10840,25326,2024-07-25 11:20:51
20,54,0.37,6631,-40,10860,25380,2024-07-26 05:00:01
35,92,0.38,6693,62,10895,25472,2024-07-27 05:00:01
44,88,0.5,6806,113,10939,25560,2024-07-28 05:00:01
18,32,0.56,6865,59,10957,25592,2024-07-29 05:00:01
43,96,0.45,6881,16,11000,25688,2024-07-31 05:00:01
47,96,0.49,6950,69,11047,25784,2024-08-04 11:34:56
27,55,0.49,7001,51,11074,25839,2024-08-05 08:57:09
5,10,0.5,7012,11,11079,25849,2024-08-06 05:00:02
28,77,0.36,6930,-82,11107,25926,2024-08-08 06:00:02
46,104,0.44,6913,-17,11153,26030,2024-08-09 05:00:01
9,18,0.5,6933,20,11162,26048,2024-08-11 06:00:01
40,108,0.37,6910,-23,11202,26156,2024-08-12 05:00:01
7,17,0.41,6919,9,11209,26173,2024-08-15 06:00:01
52,88,0.59,7001,82,11261,26261,2024-08-17 05:00:01
21,36,0.58,7031,30,11282,26297,2024-08-19 05:00:02
