wins,plays,win_rate,rate,rate_change,wins_total,plays_total,time
0,0,0,7134,0,41976,87202,2024/5/8 21:49
1,1,1.0,7137,3,41977,87203,2024-05-12 08:00:01
15,25,0.6,7174,37,41992,87228,2024-05-23 06:00:02
24,45,0.53,7202,28,42016,87273,2024-05-24 06:00:02
27,60,0.45,7206,4,42043,87333,2024-05-25 06:00:01
39,73,0.53,7200,-6,42082,87406,2024-05-27 06:00:02
26,59,0.44,7170,-30,42108,87465,2024-05-28 06:00:02
18,31,0.58,7211,41,42126,87496,2024-05-30 06:00:01
4,5,0.8,7216,5,42130,87501,2024-05-31 06:00:02
29,50,0.58,7241,25,42159,87551,2024-06-02 06:00:02
21,32,0.66,7252,11,42180,87583,2024-06-03 06:00:02
114,227,0.5,7253,1,42294,87810,2024-06-11 10:03:09
8,11,0.73,7281,28,42302,87821,2024-06-12 06:00:02
14,18,0.78,7315,34,42316,87839,2024-06-13 06:00:01
33,66,0.5,7280,-35,42349,87905,2024-06-14 06:00:01
53,98,0.54,7301,21,42402,88003,2024-06-18 09:08:10
77,151,0.51,7271,-30,42479,88154,2024-06-21 06:00:02
19,30,0.63,7304,33,42498,88184,2024-06-26 06:00:01
0,1,0.0,7302,-2,42498,88185,2024-10-02 05:00:01
1,2,0.5,7306,4,42499,88187,2024-10-29 05:00:02
