wins,plays,win_rate,rate,rate_change,wins_total,plays_total,time
0,0,0,7442,0,32158,63882,2024/5/8 21:49
10,22,0.45,7383,-59,32168,63904,2024-05-13 22:04:25
11,23,0.48,7351,-32,32179,63927,2024-05-26 06:00:01
14,25,0.56,7368,17,32193,63952,2024-05-28 06:00:02
39,83,0.47,7338,-30,32232,64035,2024-06-01 06:00:02
14,34,0.41,7274,-64,32246,64069,2024-06-02 06:00:02
87,163,0.53,7293,19,32333,64232,2024-06-03 06:00:02
62,135,0.46,7200,-93,32395,64367,2024-06-12 06:00:02
15,25,0.6,7203,3,32410,64392,2024-06-13 06:00:01
13,33,0.39,7150,-53,32423,64425,2024-06-18 09:08:10
39,70,0.56,7174,24,32462,64495,2024-06-24 21:10:25
39,60,0.65,7226,52,32501,64555,2024-06-25 06:00:02
47,91,0.52,7184,-42,32548,64646,2024-06-29 12:33:36
139,251,0.55,7227,43,32687,64897,2024-07-01 06:00:02
20,37,0.54,7224,-3,32707,64934,2024-07-02 06:00:02
45,84,0.54,7195,-29,32752,65018,2024-07-05 10:25:57
36,76,0.47,7187,-8,32788,65094,2024-07-08 06:00:02
3,13,0.23,7163,-24,32791,65107,2024-08-09 05:00:01
17,39,0.44,7167,4,32808,65146,2024-09-18 05:00:01
78,157,0.5,7141,-26,32886,65303,2024-09-19 05:00:01
7,15,0.47,7132,-9,32893,65318,2024-09-20 05:00:02
46,84,0.55,7142,10,32939,65402,2024-09-21 06:00:02
29,61,0.48,7123,-19,32968,65463,2025-04-08 05:00:01
7,9,0.78,7134,11,32975,65472,2025-04-11 05:00:02
12,26,0.46,7114,-20,32987,65498,2025-04-13 06:00:01
3,10,0.3,7106,-8,32990,65508,2025-04-14 05:00:01
0,3,0.0,7101,-5,32990,65511,2025-04-17 05:00:01
28,60,0.47,7101,0,33018,65571,2025-04-19 05:00:01
30,76,0.39,7072,-29,33048,65647,2025-04-20 05:00:02
54,104,0.52,7173,101,33102,65751,2025-04-21 05:00:02
108,215,0.5,7085,-88,33210,65966,2025-04-22 05:00:01
97,159,0.61,7325,240,33307,66125,2025-04-23 05:00:01
48,101,0.48,7227,-98,33355,66226,2025-04-24 05:00:02
59,93,0.63,7359,132,33414,66319,2025-04-25 05:00:01
48,82,0.59,7439,80,33462,66401,2025-04-26 05:00:01
45,72,0.62,7461,22,33507,66473,2025-04-27 05:00:02
30,61,0.49,7383,-78,33537,66534,2025-04-28 05:00:01
146,220,0.66,7546,163,33683,66754,2025-04-29 05:00:01
106,167,0.63,7604,58,33789,66921,2025-05-01 05:00:01
19,36,0.53,7604,0,33808,66957,2025-05-02 05:00:02
28,42,0.67,7640,36,33836,66999,2025-05-03 05:00:02
46,85,0.54,7647,7,33882,67084,2025-05-04 05:00:01
36,62,0.58,7652,5,33918,67146,2025-05-05 05:00:02
97,149,0.65,7619,-33,34015,67295,2025-05-06 05:00:01
63,103,0.61,7658,39,34078,67398,2025-05-07 05:00:01
875,1465,0.6,7453,-205,34953,68863,2025-06-17 05:00:01
