wins,plays,win_rate,rate,rate_change,wins_total,plays_total,time
0,0,0.0,6772,0,12827,36147,2024-05-08 21:49:28
0,0,0.0,6772,0,12827,36147,2025-06-20 21:14:46
0,0,0.0,6772,0,12827,36147,2025-06-21 21:13:51
0,0,0.0,6772,0,12827,36147,2025-06-23 21:13:23
0,0,0.0,6772,0,12827,36147,2025-06-24 21:13:17
0,0,0.0,6772,0,12827,36147,2025-06-25 21:13:13
0,0,0.0,6772,0,12827,36147,2025-06-26 21:13:19
0,0,0.0,6772,0,12827,36147,2025-06-27 21:12:14
0,0,0.0,6772,0,12827,36147,2025-06-28 21:12:04
0,0,0.0,6772,0,12827,36147,2025-06-29 20:18:57
