wins,plays,win_rate,rate,rate_change,wins_total,plays_total,time
0,0,0.0,7038,0,13953,38840,2024/5/8 21:49
96,204,0.47,7111,73,14049,39044,2024/5/11 21:25
57,138,0.41,7099,-12,14106,39182,2024-05-13 22:04:25
7,7,1.0,7129,30,14113,39189,2024-05-14 09:11:01
18,45,0.4,7086,-43,14131,39234,2024-05-15 06:00:01
18,45,0.4,7045,-41,14149,39279,2024-05-16 06:00:02
13,30,0.43,7063,18,14162,39309,2024-05-17 06:00:01
16,45,0.36,7013,-50,14178,39354,2024-05-18 06:00:01
11,28,0.39,7021,8,14189,39382,2024-05-19 06:00:01
10,24,0.42,7026,5,14199,39406,2024-05-20 06:00:01
10,29,0.34,7002,-24,14209,39435,2024-05-21 06:00:01
1,2,0.5,7006,4,14210,39437,2024-05-22 06:00:01
11,23,0.48,7019,13,14221,39460,2024-05-23 06:00:02
12,41,0.29,6960,-59,14233,39501,2024-05-26 06:00:01
12,20,0.6,6997,37,14245,39521,2024-05-27 06:00:02
7,19,0.37,7002,5,14252,39540,2024-05-28 06:00:02
10,22,0.45,7025,23,14262,39562,2024-05-29 06:00:01
13,28,0.46,6992,-33,14275,39590,2024-06-01 06:00:02
8,21,0.38,6972,-20,14283,39611,2024-06-02 06:00:02
0,4,0.0,6945,-27,14283,39615,2024-06-03 06:00:02
139,380,0.37,6668,-277,14422,39995,2024-06-12 06:00:02
6,23,0.26,6643,-25,14428,40018,2024-06-13 06:00:01
11,25,0.44,6654,11,14439,40043,2024-06-14 06:00:01
25,79,0.32,6572,-82,14464,40122,2024-06-15 06:00:02
3,7,0.43,6579,7,14467,40129,2024-06-16 06:00:01
22,57,0.39,6573,-6,14489,40186,2024-06-18 09:08:10
6,16,0.38,6594,21,14495,40202,2024-06-19 06:00:01
11,27,0.41,6615,21,14506,40229,2024-06-20 06:00:02
5,26,0.19,6559,-56,14511,40255,2024-06-21 06:00:02
15,32,0.47,6589,30,14526,40287,2024-06-22 06:00:01
11,19,0.58,6611,22,14537,40306,2024-06-23 06:00:01
7,20,0.35,6590,-21,14544,40326,2024-06-24 21:10:25
7,20,0.35,6590,0,14551,40346,2024-06-25 06:00:02
4,24,0.17,6528,-62,14555,40370,2024-06-26 06:00:01
4,29,0.14,6457,-71,14559,40399,2024-06-27 06:00:02
32,88,0.36,6490,33,14591,40487,2024-06-29 12:33:36
6,26,0.23,6488,-2,14597,40513,2024-06-30 06:00:02
15,34,0.44,6514,26,14612,40547,2024-07-01 06:00:02
9,25,0.36,6524,10,14621,40572,2024-07-02 06:00:02
15,51,0.29,6509,-15,14636,40623,2024-07-04 06:00:01
8,24,0.33,6515,6,14644,40647,2024-07-05 10:25:57
9,32,0.28,6511,-4,14653,40679,2024-07-06 06:00:02
13,40,0.33,6523,12,14666,40719,2024-07-07 06:00:02
7,18,0.39,6525,2,14673,40737,2024-07-08 06:00:02
