wins,plays,win_rate,rate,rate_change,wins_total,plays_total,time
0,0,0.0,6769,0,23724,58806,2024-05-08 21:49:28
21,41,0.51,6797,28,23745,58847,2024-05-11 21:25:28
48,100,0.48,6823,26,23793,58947,2024-05-15 06:00:01
46,102,0.45,6824,1,23839,59049,2024-05-18 06:00:01
0,1,0.0,6817,-7,23839,59050,2024-05-19 06:00:01
37,98,0.38,6726,-91,23876,59148,2024-05-23 06:00:02
99,219,0.45,6698,-28,23975,59367,2024-06-12 06:00:02
46,101,0.46,6690,-8,24021,59468,2024-06-13 06:00:01
29,63,0.46,6716,26,24050,59531,2024-06-14 06:00:01
32,65,0.49,6786,70,24082,59596,2024-06-15 06:00:02
1,1,1.0,6791,5,24083,59597,2024-06-16 06:00:01
29,78,0.37,6711,-80,24112,59675,2024-06-19 06:00:01
29,65,0.45,6721,10,24141,59740,2024-06-20 06:00:02
42,98,0.43,6695,-26,24183,59838,2024-06-22 06:00:01
40,101,0.4,6671,-24,24223,59939,2024-06-26 06:00:01
25,62,0.4,6638,-33,24248,60001,2024-06-27 06:00:02
1,1,1.0,6646,8,24249,60002,2024-06-30 06:00:02
43,92,0.47,6683,37,24292,60094,2024-07-04 06:00:01
23,53,0.43,6690,7,24315,60147,2024-07-05 10:25:57
40,84,0.48,6782,92,24355,60231,2024-07-06 06:00:02
43,76,0.57,6862,80,24398,60307,2024-07-11 06:00:01
42,97,0.43,6828,-34,24440,60404,2024-07-12 06:00:02
24,44,0.55,6816,-12,24464,60448,2024-07-14 12:38:45
54,101,0.53,6902,86,24518,60549,2024-07-19 05:00:02
38,76,0.5,6911,9,24556,60625,2024-08-03 05:00:01
8,36,0.22,6843,-68,24564,60661,2024-08-11 06:00:01
14,35,0.4,6821,-22,24578,60696,2024-08-17 05:00:01
1,1,1.0,6824,3,24579,60697,2024-08-18 05:00:01
10,21,0.48,6838,14,24589,60718,2024-08-30 05:00:02
17,43,0.4,6800,-38,24606,60761,2024-09-01 05:00:01
32,70,0.46,6800,0,24638,60831,2024-09-16 05:00:01
20,43,0.47,6810,10,24658,60874,2024-09-21 06:00:02
7,25,0.28,6774,-36,24665,60899,2024-10-17 05:00:02
47,112,0.42,6780,6,24712,61011,2024-10-19 06:00:02
2,2,1.0,6792,12,24714,61013,2024-10-21 05:00:01
32,57,0.56,6858,66,24746,61070,2024-10-25 05:00:02
0,1,0.0,6848,-10,24746,61071,2024-10-28 05:00:02
3,7,0.43,6855,7,24749,61078,2024-11-06 06:00:01
17,47,0.36,6821,-34,24766,61125,2024-11-16 05:00:01
0,1,0.0,6820,-1,24766,61126,2024-11-17 06:00:01
34,88,0.39,6766,-54,24800,61214,2024-12-02 05:00:01
4,11,0.36,6751,-15,24804,61225,2024-12-05 05:00:01
13,26,0.5,6763,12,24817,61251,2025-01-10 05:00:02
0,1,0.0,6761,-2,24817,61252,2025-01-28 05:00:02
12,31,0.39,6767,6,24829,61283,2025-02-01 06:00:01
42,91,0.46,6777,10,24871,61374,2025-02-13 06:00:01
21,49,0.43,6753,-24,24892,61423,2025-02-14 05:00:01
13,38,0.34,6721,-32,24905,61461,2025-02-20 05:00:01
4,14,0.29,6685,-36,24909,61475,2025-02-26 05:00:01
3,7,0.43,6696,11,24912,61482,2025-03-02 05:00:02
17,51,0.33,6666,-30,24929,61533,2025-03-12 05:00:02
12,26,0.46,6666,0,24941,61559,2025-03-27 05:00:02
26,63,0.41,6666,0,24967,61622,2025-03-29 05:00:01
6,28,0.21,6586,-80,24973,61650,2025-04-03 05:00:02
24,52,0.46,6611,25,24997,61702,2025-04-11 05:00:02
23,44,0.52,6659,48,25020,61746,2025-04-16 05:00:02
9,20,0.45,6667,8,25029,61766,2025-04-17 05:00:01
29,50,0.58,6730,63,25058,61816,2025-04-18 05:00:02
16,29,0.55,6763,33,25074,61845,2025-04-23 05:00:01
3,5,0.6,6767,4,25077,61850,2025-04-27 05:00:02
0,3,0.0,6756,-11,25077,61853,2025-05-01 05:00:01
34,60,0.57,6847,91,25111,61913,2025-05-02 05:00:02
20,41,0.49,6830,-17,25131,61954,2025-05-03 05:00:02
190,491,0.39,6590,-240,25321,62445,2025-06-17 05:00:01
0,0,0.0,6537,0,25337,62498,2025-06-20 21:14:51
0,0,0.0,6537,0,25337,62498,2025-06-21 21:13:55
0,0,0.0,6537,0,25337,62498,2025-06-23 21:13:27
