wins,plays,win_rate,rate,rate_change,wins_total,plays_total,time
0,0,0,7250,0,20681,49872,2024-07-25 11:20:51
2,3,0.67,7251,1,20683,49875,2024-07-26 05:00:01
46,82,0.56,7318,67,20729,49957,2024-07-27 05:00:01
14,30,0.47,7302,-16,20743,49987,2024-07-28 05:00:01
97,213,0.46,7300,-2,20840,50200,2024-07-29 05:00:01
54,113,0.48,7300,0,20894,50313,2024-07-30 05:00:02
43,105,0.41,7256,-44,20937,50418,2024-07-31 05:00:01
105,239,0.44,7151,-105,21042,50657,2024-08-01 06:00:02
111,224,0.5,7203,52,21153,50881,2024-08-02 05:00:01
50,129,0.39,7153,-50,21203,51010,2024-08-03 05:00:01
58,145,0.4,7075,-78,21261,51155,2024-08-04 11:34:56
74,174,0.43,7050,-25,21335,51329,2024-08-05 08:57:09
30,58,0.52,7105,55,21365,51387,2024-08-06 05:00:02
104,208,0.5,7203,98,21469,51595,2024-08-08 06:00:02
82,163,0.5,7270,67,21551,51758,2024-08-09 05:00:01
48,106,0.45,7210,-60,21599,51864,2024-08-11 06:00:01
33,68,0.49,7251,41,21632,51932,2024-08-14 05:00:01
25,40,0.62,7301,50,21657,51972,2024-08-15 06:00:01
54,104,0.52,7303,2,21711,52076,2024-08-16 05:00:01
27,84,0.32,7151,-152,21738,52160,2024-08-18 05:00:01
133,270,0.49,7170,19,21871,52430,2024-08-19 05:00:02
131,245,0.53,7250,80,22002,52675,2024-08-20 06:00:01
57,116,0.49,7250,0,22059,52791,2024-08-21 05:00:01
32,71,0.45,7221,-29,22091,52862,2024-08-23 05:00:01
77,155,0.5,7221,0,22168,53017,2024-08-24 06:00:01
41,87,0.47,7203,-18,22209,53104,2024-08-25 05:00:01
22,44,0.5,7234,31,22231,53148,2024-08-26 05:00:02
12,19,0.63,7250,16,22243,53167,2024-08-27 05:00:02
